3992752,Todo, look good shirtless , someday, I want this badly
3992753,Todo, finish Algo Expert and Elements Of Programming Interview in Python, within 3 weeks, I need to do this
3992754,Todo, schedule massive amounts of work to be done during weekday so I can fuck and pick up chicks on the weekend, ASAP, i want
